Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Status
Information Systems,"Chemical, Biochemical & Environmental Engineering",0.03,1390,8,2,10,0,6,8,5,2.64,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.8,1288,23,7,9,2,3,6,0,2.32,Yes
Information Systems,Information Systems,3.08,1432,6,2,0,8,7,9,9,2.76,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.98,1290,21,2,2,3,2,2,7,0.23,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.68,1456,17,3,4,10,3,0,7,2.74,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.45,1502,11,1,2,4,4,2,8,2.04,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.23,1442,5,5,10,10,0,1,5,1.15,Yes
Business Tech0logy Administration,Information Systems,2.46,1382,31,7,4,5,8,5,9,1.76,No
Mechanical Engineering,Mechanical Engineering,0.9,894,16,9,0,7,2,4,6,0.75,No
Environmental Engineering,Mechanical Engineering,3.53,1577,12,10,0,2,0,9,7,0.1,Yes
Mechanical Engineering,Mechanical Engineering,3.28,914,30,10,6,8,0,10,9,0.79,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.68,854,25,8,4,7,0,8,9,2.03,Yes
Computer Science,Computer Science and Electrical Engineering,3.15,1558,12,3,1,8,7,7,5,1.76,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",3.95,1459,3,3,8,4,5,4,2,3.83,Yes
Bioinformatics and Computational Biology,Information Systems,1.43,1440,17,0,8,6,6,1,5,3.6,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.46,1353,4,8,8,10,5,9,10,0.98,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.1,1580,6,1,3,5,0,5,4,1.68,Yes
Computer Science,Information Systems,2.91,807,15,3,3,1,3,9,1,3.87,No
Cybersecurity Informatics,Information Systems,3.31,1079,32,6,10,10,5,4,7,1.6,Yes
Electrical Engineering,Information Systems,0.19,1589,21,7,8,2,8,3,6,3.92,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.78,1274,2,9,0,5,5,7,9,0.92,Yes
Chemical Engineering,Mechanical Engineering,0.29,1486,3,1,7,7,10,7,6,2.4,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.28,1344,25,5,0,2,5,7,9,3.04,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.71,1337,27,0,6,0,10,4,1,0.51,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.71,971,27,9,5,9,2,5,6,3.91,No
Chemical Engineering,Information Systems,0.53,1186,23,6,10,5,3,2,7,2.75,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.89,859,9,1,7,10,10,5,0,0.27,No
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.08,901,11,5,4,8,6,2,7,0.29,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,1.37,1449,7,9,7,10,1,7,7,1.22,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.7,1072,13,2,5,2,8,8,6,3.87,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0.45,986,7,10,8,8,2,10,10,3.34,No
Computer Science,Information Systems,2.14,1197,13,8,2,2,7,4,10,2.98,Yes
Cybersecurity Informatics,Information Systems,3.26,1153,6,3,3,1,2,8,0,1.01,No
Chemical Engineering,Mechanical Engineering,1.98,1431,4,1,6,2,1,7,9,3.4,No
Computer Engineering,Mechanical Engineering,0.24,1549,25,1,1,3,0,10,2,2.17,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.22,1137,20,7,5,5,1,7,1,3.96,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.96,1253,9,1,7,8,9,10,3,1.09,Yes
Chemical Engineering,Mechanical Engineering,3.22,1073,25,9,2,1,5,1,4,3.53,Yes
Environmental Engineering,Mechanical Engineering,3.75,1149,9,1,0,10,4,7,5,0.24,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.02,1037,19,10,4,8,6,4,9,3.28,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.13,994,12,6,3,8,0,10,6,2.29,No
Mechanical Engineering,Information Systems,2.64,1229,35,0,2,9,6,5,3,1.88,Yes
Mechanical Engineering,Information Systems,1.09,1252,4,0,5,7,1,8,8,0.89,Yes
Business Tech0logy Administration,Mechanical Engineering,0.8,1037,19,5,4,5,1,1,8,0.68,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.04,1241,6,10,2,4,6,9,10,1.44,Yes
Information Systems,Mechanical Engineering,1.16,1572,31,9,1,1,5,0,4,0.66,Yes
Cybersecurity Informatics,Mechanical Engineering,0.57,1385,32,7,2,10,0,1,9,0.96,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.68,1356,9,9,9,4,1,1,6,3.95,Yes
Computer Engineering,Mechanical Engineering,2.71,1541,26,7,3,6,2,7,6,3.38,No
Chemical Engineering,Information Systems,1.83,1395,6,6,8,1,10,10,7,0.17,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,0.83,1375,34,3,5,1,2,6,1,1.27,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.32,1161,21,5,5,5,0,1,7,0.66,No
Mechanical Engineering,Information Systems,3.75,1516,27,8,0,5,2,1,4,0.73,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),3.99,922,19,3,9,0,1,8,10,0.65,No
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.58,979,27,7,3,2,10,1,0,2.26,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.99,1289,3,7,10,1,4,8,6,0.7,Yes
Bioinformatics and Computational Biology,Information Systems,0.17,1312,25,5,2,5,5,5,9,3.98,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",1.23,1533,34,6,3,0,0,10,10,0.76,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.33,1283,21,0,1,3,2,0,10,3.48,No
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.1,972,11,1,9,3,2,9,2,3.16,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1.65,901,27,9,8,0,7,5,7,3.84,Yes
Information Systems,Mechanical Engineering,1.45,1384,28,9,5,7,3,0,0,3.76,Yes
Business Tech0logy Administration,Information Systems,3.91,1288,4,4,0,10,4,10,10,2.08,Yes
Electrical Engineering,Information Systems,2,845,26,3,3,6,6,5,9,3.98,Yes
Computer Engineering,Computer Science and Electrical Engineering,0.04,1216,21,4,10,8,5,0,1,3.63,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.8,987,4,4,4,10,3,5,0,1.92,Yes
Mechanical Engineering,Information Systems,2.33,1430,4,9,1,9,7,9,4,1.89,No
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),0.63,1104,23,2,6,2,10,2,7,2.91,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.83,1381,9,5,3,6,6,5,9,2.02,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.08,944,24,0,4,3,4,2,10,3.6,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.9,1045,29,3,7,2,9,9,5,0.43,No
Computer Science,Biological Sciences (in collaboration with COEIT),0.6,1590,7,9,6,10,0,5,3,3.8,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.94,1476,18,9,2,2,1,10,7,3.94,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.05,865,2,3,4,3,2,5,9,3.97,Yes
Computer Science,Computer Science and Electrical Engineering,0.04,1137,28,8,7,1,0,6,5,2.71,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.35,1285,29,0,9,6,5,5,9,0.09,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.3,1147,17,8,3,0,10,5,5,3.18,No
Electrical Engineering,Mechanical Engineering,3.05,1325,31,7,6,5,9,5,4,3.03,No
Electrical Engineering,Mechanical Engineering,2.15,1566,17,9,8,5,7,8,7,0.63,No
Chemical Engineering,Computer Science and Electrical Engineering,0.87,1013,31,10,10,2,1,6,3,1.14,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.56,1418,23,1,1,1,1,7,2,0.81,Yes
Information Systems,Computer Science and Electrical Engineering,3.39,1166,10,1,4,8,0,1,4,3.68,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.97,966,6,3,0,10,7,2,8,1.39,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,0.27,971,27,5,5,1,0,1,6,3.79,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.9,1018,11,2,6,10,9,10,5,1.47,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.71,1129,20,8,5,0,5,4,5,1.48,Yes
Business Tech0logy Administration,Mechanical Engineering,3.93,1217,5,6,5,2,3,7,4,1.32,No
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.75,973,32,0,5,3,1,4,8,3.35,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.81,1088,5,9,7,6,3,1,7,0.84,Yes
Computer Science,Information Systems,0.4,1551,22,3,8,9,7,1,1,2.76,No
Business Tech0logy Administration,Mechanical Engineering,0.84,1370,1,2,3,10,1,9,9,0.31,No
Computer Science,Biological Sciences (in collaboration with COEIT),0.43,964,20,3,2,3,7,1,8,3.99,No
Computer Engineering,Information Systems,1.09,1319,15,10,6,6,1,3,4,1.94,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.32,819,11,5,7,8,9,9,10,0.5,Yes
Bioinformatics and Computational Biology,Information Systems,3.28,1504,32,2,2,8,10,4,0,1.83,Yes
Chemical Engineering,Mechanical Engineering,0.39,1430,28,8,5,8,3,5,7,0.32,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.63,1360,28,9,6,3,9,6,6,2.73,Yes
Environmental Engineering,Computer Science and Electrical Engineering,1.16,1254,17,8,6,5,2,7,0,1.97,Yes
Business Tech0logy Administration,Information Systems,1.37,1054,34,3,10,0,6,4,3,0.5,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.56,902,24,8,1,4,7,2,10,2.44,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",0.91,934,2,1,7,2,9,4,7,1.16,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.51,1564,27,8,9,5,9,0,7,3.77,Yes
Computer Science,Computer Science and Electrical Engineering,3.49,1219,9,3,5,5,10,6,5,2.62,Yes
Electrical Engineering,Information Systems,3.53,1523,19,9,5,5,4,7,10,1.62,Yes
Cybersecurity Informatics,Mechanical Engineering,3.14,896,29,3,2,8,6,5,4,0.56,No
Information Systems,Information Systems,1.53,1550,11,10,5,5,6,5,7,2.8,Yes
Business Tech0logy Administration,Information Systems,3.65,1370,32,9,8,0,5,8,8,1.89,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.76,1563,27,2,5,5,2,6,5,3,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.17,1270,24,1,3,1,9,7,5,2.6,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),1.74,1559,27,7,8,4,3,5,3,2.49,Yes
Information Systems,Mechanical Engineering,1.93,1374,27,4,5,2,9,4,9,2.94,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.44,1591,32,9,5,10,8,6,9,1.42,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),0,988,22,10,7,9,9,3,9,3.87,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.1,1192,32,5,1,1,10,9,3,3.74,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.58,1421,35,2,1,1,4,4,1,2.87,No
Business Tech0logy Administration,Mechanical Engineering,3.69,847,1,3,9,5,1,5,2,0.48,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.05,855,34,1,4,0,7,8,9,3.25,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),1.86,1350,1,2,8,10,10,1,3,1.29,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.07,1189,35,9,0,4,10,6,1,0.54,No
Environmental Engineering,Mechanical Engineering,4,1442,29,4,0,3,9,4,7,2.69,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.79,1428,18,10,1,9,1,9,10,3.09,Yes
Environmental Engineering,Information Systems,0.51,1093,6,10,3,0,2,1,6,3.44,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.22,1565,6,3,6,9,10,1,2,0.48,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",0.62,935,27,9,2,8,5,1,4,0.82,No
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.9,1351,19,9,2,9,6,7,4,3.61,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),1.45,1192,3,1,5,3,10,2,1,0.89,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.64,1119,20,1,9,1,1,5,5,2.37,Yes
Information Systems,Information Systems,3.58,1533,2,5,2,10,8,6,9,0.74,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.17,976,7,8,6,6,5,5,4,0.54,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.19,1379,5,6,6,10,10,6,3,0.96,Yes
Business Tech0logy Administration,Mechanical Engineering,1.12,1276,25,7,3,0,7,3,6,0.91,Yes
Electrical Engineering,Information Systems,2.36,960,13,3,9,10,2,7,0,0.78,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),0.75,1445,12,1,4,1,6,4,9,0.39,Yes
Computer Science,Computer Science and Electrical Engineering,0.88,1084,5,6,10,2,3,0,7,0.29,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.83,1330,12,0,4,3,6,10,1,1.27,Yes
Computer Engineering,Information Systems,1.63,1540,18,0,0,1,3,3,6,1.31,Yes
Chemical Engineering,Information Systems,3.55,1210,3,4,9,6,0,0,1,3.12,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",1.95,1514,4,2,9,7,2,5,3,3.32,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",0.28,1545,19,5,2,10,1,5,9,0.6,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),1.66,808,21,3,4,5,8,2,9,3.17,Yes
Electrical Engineering,Mechanical Engineering,0.54,1263,25,6,10,0,9,9,4,1.07,No
Information Systems,Computer Science and Electrical Engineering,3.98,1426,3,0,4,4,10,5,10,1.99,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.1,1457,7,5,5,4,5,10,9,0.34,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",2.25,1559,9,1,0,4,4,6,6,1.59,Yes
Environmental Engineering,Mechanical Engineering,1.46,1196,4,2,5,7,9,3,6,0.21,Yes
Information Systems,Information Systems,2.43,870,23,9,4,10,5,6,1,0.03,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),2.16,1392,11,4,8,4,3,9,5,3.73,No
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.67,1343,19,5,3,3,9,9,8,3.19,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.73,1593,1,0,5,7,0,0,1,0.85,Yes
Electrical Engineering,Mechanical Engineering,0.48,979,4,4,6,3,8,8,3,1.14,Yes
Computer Science,Mechanical Engineering,3.48,949,9,2,1,5,10,9,10,0.51,Yes
Chemical Engineering,Mechanical Engineering,3.73,1211,7,8,5,3,7,2,7,0.6,No
Mechanical Engineering,Information Systems,1.42,1391,26,7,4,0,1,5,10,2.33,Yes
Chemical Engineering,Mechanical Engineering,3.83,1283,21,9,7,3,8,8,6,2.31,No
Cybersecurity Informatics,Information Systems,1.37,1272,10,2,5,6,7,1,6,2.25,No
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.34,1595,10,3,3,0,7,2,6,0.15,Yes
Environmental Engineering,Information Systems,2.67,1340,1,9,0,9,10,6,1,2.74,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.98,1161,3,3,2,9,0,9,10,0.1,No
Electrical Engineering,Computer Science and Electrical Engineering,0.68,1470,35,8,2,7,1,6,3,3.96,No
Cybersecurity Informatics,Mechanical Engineering,1.18,1405,12,3,8,0,2,6,0,3.32,No
Chemical Engineering,Computer Science and Electrical Engineering,2.18,1415,27,8,5,1,7,8,0,3.7,No
Information Systems,Mechanical Engineering,0.86,824,17,3,6,6,3,4,7,3.18,No
Mechanical Engineering,Computer Science and Electrical Engineering,2.32,862,19,5,6,3,0,9,8,1.27,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.11,1555,10,4,1,2,4,10,6,0.78,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.52,1492,26,10,1,4,5,6,2,1.97,Yes
Cybersecurity Informatics,Information Systems,1.34,1220,8,5,4,4,4,6,0,3.18,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,0.69,1290,2,7,1,2,10,9,6,2.1,Yes
Cybersecurity Informatics,Mechanical Engineering,2.74,1116,12,8,3,0,1,8,2,1.2,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.75,1128,31,1,0,3,7,6,4,1.05,Yes
Business Tech0logy Administration,Information Systems,1.75,878,29,0,8,10,3,3,2,1.94,Yes
Bioinformatics and Computational Biology,Information Systems,2.37,1156,8,1,10,5,7,5,10,1.6,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.19,1366,15,3,7,3,10,5,5,2.5,Yes
Computer Science,Computer Science and Electrical Engineering,2.93,1256,26,5,1,0,7,1,0,0.05,No
Chemical Engineering,Computer Science and Electrical Engineering,2.69,1412,4,4,8,1,4,3,4,2.53,Yes
Information Systems,Information Systems,2.65,809,33,3,6,7,1,7,0,1.9,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.9,1592,12,7,8,4,9,0,5,3.2,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.43,1372,11,2,3,2,10,7,1,1.15,Yes
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.34,1494,30,0,10,1,6,6,6,3.14,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.33,1285,26,8,3,5,1,6,7,3.83,No
Information Systems,Biological Sciences (in collaboration with COEIT),3.56,1577,30,6,1,5,4,5,3,1.82,No
Bioinformatics and Computational Biology,Information Systems,0.15,969,33,3,4,3,2,4,9,1.46,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.6,862,31,9,1,3,2,5,7,3.42,Yes
Mechanical Engineering,Information Systems,1.57,1304,2,9,6,9,0,0,5,0.94,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",1.02,1058,15,0,10,3,0,0,10,2.93,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.3,1226,2,8,3,2,3,10,10,2.29,Yes
Computer Science,Mechanical Engineering,0.68,1258,12,2,8,10,8,2,6,1.73,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.67,803,18,3,6,0,4,4,5,0.77,Yes
Computer Science,Information Systems,0.62,1040,8,3,1,8,8,8,8,0.05,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),3.86,955,3,0,7,8,9,4,7,2.15,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),0.05,1096,35,3,8,6,5,2,7,0.23,No
Cybersecurity Informatics,Mechanical Engineering,1.95,1310,33,9,5,2,5,4,0,0.43,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",0.14,965,31,1,3,1,2,10,8,2.42,Yes
Computer Engineering,Mechanical Engineering,3.51,1322,4,3,5,3,10,1,5,0.96,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.19,1554,23,6,2,10,3,5,9,2.76,Yes
Computer Science,Computer Science and Electrical Engineering,0.9,1215,35,7,10,8,6,10,8,0.59,Yes
Business Tech0logy Administration,Biological Sciences (in collaboration with COEIT),0.55,1393,1,6,3,8,3,10,7,0.28,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),0.85,925,3,0,9,6,1,9,9,2.1,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),0.31,1522,10,3,6,3,3,6,10,0.95,Yes
Chemical Engineering,Mechanical Engineering,0.95,1519,30,6,4,8,3,10,4,1.71,Yes
Mechanical Engineering,Mechanical Engineering,0.27,1186,28,5,6,5,9,0,5,0.44,No
Computer Engineering,Information Systems,3.41,855,16,5,7,1,7,6,0,1.17,Yes
Information Systems,Information Systems,3.41,1296,4,10,7,4,9,10,9,0.24,Yes
Computer Engineering,Information Systems,2.2,1564,4,5,10,10,9,7,1,3.24,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),3.68,1476,23,5,3,3,7,1,10,0.02,Yes
Electrical Engineering,Information Systems,1.4,1556,23,5,3,1,2,2,6,3.84,No
Business Tech0logy Administration,Information Systems,0.72,1423,15,10,10,1,3,2,9,1.09,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.22,1405,13,5,2,5,6,0,2,0.31,Yes
Cybersecurity Informatics,Mechanical Engineering,0.49,1325,1,7,1,5,4,8,3,3.42,Yes
Business Tech0logy Administration,Information Systems,3.29,1175,24,10,0,8,1,7,8,2.67,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,3.04,1173,1,1,3,10,3,2,7,3.41,Yes
Information Systems,Computer Science and Electrical Engineering,0.76,1554,13,0,4,8,7,4,7,2.18,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",2.18,1171,17,5,4,9,1,3,4,1.03,No
Environmental Engineering,Computer Science and Electrical Engineering,1.12,1381,30,6,3,5,6,10,2,0.39,Yes
Computer Science,Mechanical Engineering,0.52,1087,20,9,3,0,1,8,4,2.19,No
Computer Science,Mechanical Engineering,0.98,968,5,8,10,2,4,4,10,2.59,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.4,1095,5,2,1,1,9,10,4,1.79,Yes
Chemical Engineering,Information Systems,2.6,1215,16,0,7,6,9,1,6,1.33,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",0.75,1546,21,5,1,0,1,10,7,3.4,No
Mechanical Engineering,Mechanical Engineering,3.1,1272,34,9,10,3,2,1,2,2.56,No
Information Systems,Biological Sciences (in collaboration with COEIT),2.3,1109,6,4,4,0,2,0,0,0.61,No
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",1.72,1496,6,3,8,2,3,4,7,3.67,Yes
Computer Science,Computer Science and Electrical Engineering,2.59,1447,10,9,4,3,10,4,1,0.68,Yes
Chemical Engineering,Mechanical Engineering,1.33,1481,31,9,0,5,3,2,6,3.57,Yes
Information Systems,Mechanical Engineering,1.06,1538,6,6,8,10,10,4,9,0.17,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.71,1125,3,4,9,0,1,7,6,3.88,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.6,1546,25,10,8,0,3,2,9,2,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),1.9,1227,20,3,10,5,6,3,10,0.49,No
Electrical Engineering,Mechanical Engineering,2.42,1282,35,9,0,8,0,2,2,0.43,Yes
Bioinformatics and Computational Biology,Information Systems,2.63,1017,1,9,2,5,5,5,6,1.67,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.62,830,31,9,8,1,10,6,5,1.69,No
Computer Science,Biological Sciences (in collaboration with COEIT),2.11,1140,14,8,1,1,7,6,10,2.32,No
Information Systems,Information Systems,1.25,1271,3,7,1,1,5,1,3,1.43,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),3.56,1430,16,3,6,4,7,6,3,2.04,Yes
Cybersecurity Informatics,Information Systems,2.25,1190,14,3,6,0,10,0,4,2.42,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.63,1209,3,9,3,4,6,9,6,3.45,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.31,955,6,8,4,7,2,9,4,3.84,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.6,1185,9,7,8,8,6,1,0,3.53,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.84,1051,33,6,10,6,4,10,6,0.33,No
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.64,843,12,0,5,10,2,1,2,1.21,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.53,877,2,3,1,1,9,7,10,0.52,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,1.87,1126,3,0,10,4,6,2,3,2.36,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",1.77,944,13,4,6,3,2,4,1,2.87,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),3.92,1454,31,3,9,10,1,3,6,2.84,No
Business Tech0logy Administration,Information Systems,3.01,1269,9,6,4,2,6,4,3,1.82,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.69,959,8,7,8,6,0,6,1,2.43,No
Business Tech0logy Administration,"Chemical, Biochemical & Environmental Engineering",0.38,1465,22,0,10,1,0,8,9,1.12,Yes
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.35,1297,26,4,1,3,4,1,7,2.69,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",0.76,1111,16,9,6,10,1,7,6,0.62,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),1.56,887,32,6,4,7,0,9,1,0.41,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.23,885,35,2,0,1,7,5,0,1.49,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),0.03,1430,1,8,0,4,0,7,1,3.13,No
Information Systems,Biological Sciences (in collaboration with COEIT),3.45,1204,7,7,0,5,8,7,8,1.05,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,1.75,964,11,4,4,6,10,8,6,0.79,No
Computer Science,Information Systems,2.49,1447,11,2,0,7,7,5,9,3.62,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,0.81,941,13,2,8,1,0,6,1,2.28,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.8,1181,4,2,10,6,6,1,9,0.78,Yes
Chemical Engineering,Computer Science and Electrical Engineering,1.24,1121,25,1,8,9,2,0,8,0.75,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.06,1299,3,0,7,9,5,3,4,0.47,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",1.29,998,10,0,4,8,9,0,4,0.5,Yes
Computer Engineering,Information Systems,2.58,1210,5,8,8,10,1,8,4,3.21,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.4,807,12,6,1,7,10,3,7,3.21,No
Environmental Engineering,Biological Sciences (in collaboration with COEIT),2.56,995,34,6,2,1,0,0,10,3.81,Yes
Business Tech0logy Administration,Computer Science and Electrical Engineering,0.71,858,12,9,2,8,4,0,7,1.19,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",1,1321,15,1,3,6,6,10,0,2.29,Yes
Information Systems,Information Systems,2.09,1293,21,3,1,8,7,3,5,2.15,No
Chemical Engineering,Computer Science and Electrical Engineering,1.09,1102,4,7,9,5,4,2,7,0.41,Yes
