Program,Department,High School GPA,SAT Score,ACT Score,Advanced Coursework (0-10),STEM Extracurriculars (0-10),Leadership Experience (0-10),Letters of Recommendation (0-10),Personal Statement Quality (0-10),Diversity/Inclusion Contribution (0-10),Transfer Student GPA,Admission Accepted
Business TechNology Administration,Mechanical Engineering,3.39,1578,31,1,9,1,8,6,4,3.39,No
Electrical Engineering,Information Systems,2.55,1513,31,1,8,4,10,2,4,3.69,No
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.9,1160,35,6,5,5,10,7,10,3.59,Yes
Computer Science,Computer Science and Electrical Engineering,3.84,1406,25,4,3,9,4,6,0,2.97,Yes
Environmental Engineering,Information Systems,3.88,1075,20,2,5,5,4,1,5,3.54,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.83,1310,22,10,5,3,3,9,2,2.78,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.87,1129,32,1,7,5,2,7,9,2.86,Yes
Computer Engineering,Information Systems,2.78,1212,22,7,8,2,9,6,0,3.18,Yes
Information Systems,Information Systems,3.73,1162,31,4,7,2,7,8,7,2.74,Yes
Computer Science,Information Systems,3.06,1221,31,8,1,0,4,2,8,3.16,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.97,1139,25,6,8,1,0,4,0,2.94,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.1,1116,21,0,10,9,4,6,10,2.54,Yes
Business TechNology Administration,Information Systems,2.67,1313,28,8,2,5,0,9,9,3.47,Yes
Computer Science,Information Systems,2.94,1315,31,2,7,0,10,3,4,3.28,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.55,1599,23,5,9,7,2,10,4,3.85,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.92,1409,29,7,9,9,8,7,5,2.7,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.68,1421,28,4,0,6,9,1,10,3.55,Yes
Cybersecurity Informatics,Information Systems,3.43,1451,24,3,8,5,5,4,5,3.96,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.89,1567,31,7,6,8,5,3,1,2.96,No
Environmental Engineering,Information Systems,3.86,1535,24,3,0,10,1,6,6,2.68,Yes
Bioinformatics and Computational Biology,Information Systems,3.21,1001,33,3,2,8,5,4,0,2.84,Yes
Electrical Engineering,Mechanical Engineering,2.95,1063,20,1,4,5,9,0,0,2.61,Yes
Business TechNology Administration,Information Systems,2.93,1012,25,8,4,1,10,6,10,3.04,Yes
Electrical Engineering,Information Systems,2.6,1495,31,10,2,2,5,1,7,2.76,Yes
Bioinformatics and Computational Biology,Information Systems,2.97,1253,24,3,4,3,6,10,5,3.09,Yes
Information Systems,Computer Science and Electrical Engineering,3.68,1511,32,10,8,10,2,1,6,3.23,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.1,1259,35,9,1,1,4,10,8,3.32,No
Environmental Engineering,Mechanical Engineering,3.31,1242,23,8,6,10,4,10,8,3.14,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),3.18,1591,35,3,7,5,3,5,4,3.37,Yes
Chemical Engineering,Mechanical Engineering,3.95,1563,34,2,1,10,4,4,9,3.3,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.61,1524,22,1,2,10,0,6,7,2.96,Yes
Bioinformatics and Computational Biology,Information Systems,3.82,1436,20,4,5,3,4,7,0,2.89,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.45,1182,27,3,9,10,5,3,0,3.67,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.95,1351,22,6,7,6,3,1,3,3.03,Yes
Environmental Engineering,Information Systems,3.65,1298,24,7,7,6,9,7,10,3.95,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.63,1433,29,4,4,0,6,1,3,3.45,Yes
Computer Science,Computer Science and Electrical Engineering,2.81,1274,20,7,4,10,2,3,7,3.5,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.83,1564,23,0,9,1,4,9,8,3.5,Yes
Business TechNology Administration,Mechanical Engineering,2.57,1356,29,1,2,5,7,2,0,3.47,Yes
Information Systems,Computer Science and Electrical Engineering,3.75,1141,29,10,10,8,4,6,3,2.69,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.03,1298,28,9,7,5,6,8,4,3.27,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.53,1065,21,0,7,2,3,1,3,3.95,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.6,1088,32,9,5,8,4,2,4,2.59,Yes
Chemical Engineering,Mechanical Engineering,2.92,1327,33,8,6,10,2,1,7,3.32,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.29,1238,34,6,7,9,8,2,2,2.64,Yes
Environmental Engineering,Mechanical Engineering,2.74,1033,33,10,8,2,4,7,5,3.63,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.68,1221,35,4,8,8,10,1,0,2.71,Yes
Business TechNology Administration,Information Systems,2.61,1485,29,5,7,9,4,1,5,2.64,Yes
Chemical Engineering,Information Systems,3.95,1543,34,9,6,4,6,0,9,3.54,No
Chemical Engineering,Information Systems,2.98,1148,29,9,4,6,0,9,8,2.58,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,2.96,1467,20,1,2,1,7,8,6,3.02,Yes
Chemical Engineering,Information Systems,2.9,1358,30,1,5,2,1,10,5,3.74,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.73,1094,32,10,6,5,2,7,3,2.97,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.26,1166,27,9,10,10,10,10,4,3.78,Yes
Business TechNology Administration,Information Systems,3.74,1333,24,3,0,9,3,8,0,2.59,Yes
Information Systems,Computer Science and Electrical Engineering,2.67,1260,35,8,1,2,4,0,0,2.96,No
Information Systems,Information Systems,3.53,1404,23,2,2,4,3,0,1,3.88,Yes
Information Systems,Information Systems,3.77,1360,29,10,0,8,8,1,1,3.46,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.57,1283,20,7,9,5,4,3,9,3.08,No
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.32,1178,26,3,4,7,1,5,9,3.95,Yes
Computer Science,Computer Science and Electrical Engineering,3.77,1349,20,2,10,1,8,10,1,2.71,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.54,1566,20,6,2,8,10,4,3,3.51,No
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.7,1134,20,4,0,2,7,4,8,3.92,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.9,1527,22,8,6,9,10,3,4,2.53,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.71,1338,35,0,1,3,7,2,5,2.8,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.64,1151,30,4,9,6,10,9,0,3.9,Yes
Computer Science,Information Systems,3.34,1183,24,2,4,9,10,8,3,3.2,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.81,1565,32,5,3,3,8,10,0,3.6,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.63,1581,24,5,9,6,2,5,0,3.31,Yes
Environmental Engineering,Information Systems,2.53,1539,27,9,9,7,8,1,1,3.44,Yes
Electrical Engineering,Information Systems,3.41,1227,23,4,7,8,9,0,2,2.76,Yes
Information Systems,Information Systems,2.75,1244,28,7,3,2,7,6,6,3.75,Yes
Information Systems,Computer Science and Electrical Engineering,2.5,1103,33,0,6,5,7,3,5,3.27,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.91,1012,30,10,1,8,0,2,3,2.58,Yes
Chemical Engineering,Mechanical Engineering,2.92,1147,31,10,5,0,1,7,5,3.11,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.71,1221,33,5,0,4,6,3,6,3.51,No
Business TechNology Administration,Information Systems,3.23,1046,34,4,6,7,0,10,6,3.06,No
Chemical Engineering,Computer Science and Electrical Engineering,2.76,1569,20,1,2,1,4,10,10,3.84,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.81,1359,25,2,2,6,3,9,1,2.63,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.38,1523,33,0,4,2,1,6,6,3.66,Yes
Cybersecurity Informatics,Mechanical Engineering,2.61,1304,32,0,4,10,4,7,0,2.61,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.98,1399,24,4,7,0,0,8,3,2.76,Yes
Bioinformatics and Computational Biology,Information Systems,2.71,1300,34,2,5,10,1,8,3,3.18,Yes
Electrical Engineering,Information Systems,3.86,1430,30,5,10,0,7,9,9,3.34,Yes
Chemical Engineering,Information Systems,3.54,1133,22,0,5,0,3,7,2,2.55,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.12,1370,31,6,3,6,2,8,10,3.57,No
Chemical Engineering,Computer Science and Electrical Engineering,2.91,1025,34,3,6,1,10,3,0,3.76,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.86,1087,33,9,2,1,6,9,8,3.73,Yes
Computer Engineering,Information Systems,2.87,1470,27,4,5,1,2,4,1,3.01,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.42,1534,27,3,10,9,4,5,8,2.98,Yes
Electrical Engineering,"Chemical, Biochemical & Environmental Engineering",3.76,1562,25,3,8,8,3,2,8,2.96,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.92,1260,20,10,3,3,0,0,8,3.95,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.97,1579,30,3,3,6,8,8,1,3.11,Yes
Information Systems,Biological Sciences (in collaboration with COEIT),2.57,1478,28,7,7,2,0,8,0,3.54,Yes
Computer Science,Information Systems,2.71,1135,21,1,9,2,3,4,2,3.56,Yes
Information Systems,Computer Science and Electrical Engineering,2.91,1440,32,2,6,8,3,10,4,3.27,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.8,1333,33,1,7,9,4,10,2,3.88,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",3.75,1183,33,1,1,7,3,9,9,3.97,Yes
Bioinformatics and Computational Biology,Information Systems,3.56,1371,24,6,6,10,8,8,5,2.92,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,2.75,1178,22,0,3,5,8,6,4,2.57,Yes
Computer Science,Information Systems,3.02,1268,26,8,7,5,4,0,6,2.86,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),3.07,1457,30,9,3,5,0,3,5,3.57,Yes
Environmental Engineering,Information Systems,3.1,1132,29,10,2,6,3,6,6,2.74,Yes
Environmental Engineering,"Chemical, Biochemical & Environmental Engineering",2.79,1204,23,0,7,0,8,0,3,3.51,Yes
Computer Engineering,Information Systems,3.84,1134,23,7,5,10,3,9,3,3.68,No
Environmental Engineering,Computer Science and Electrical Engineering,3.17,1062,30,2,4,2,6,9,7,2.68,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.56,1490,27,6,6,3,8,2,8,3.78,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.18,1510,25,0,6,1,2,4,5,2.74,Yes
Business TechNology Administration,Biological Sciences (in collaboration with COEIT),2.85,1519,32,3,10,2,2,4,0,3.72,No
Environmental Engineering,Mechanical Engineering,2.57,1264,29,2,8,4,5,1,4,2.55,Yes
Information Systems,Information Systems,2.84,1139,27,0,6,10,3,7,2,3.76,No
Computer Engineering,Computer Science and Electrical Engineering,2.92,1239,23,0,3,0,10,7,9,3.97,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.74,1194,35,4,4,3,8,0,2,3.92,Yes
Computer Engineering,Information Systems,3.76,1221,32,0,9,5,8,8,5,3.91,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.67,1377,27,3,5,4,3,6,0,3.42,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.63,1465,31,8,0,2,8,9,5,3.14,Yes
Business TechNology Administration,Mechanical Engineering,2.83,1324,20,9,0,4,5,10,5,3.67,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.48,1357,24,8,8,8,7,2,3,2.54,Yes
Bioinformatics and Computational Biology,Information Systems,3.95,1331,23,9,6,7,6,10,7,3.2,No
Computer Engineering,Mechanical Engineering,2.7,1267,33,2,3,8,4,9,9,3.22,Yes
Business TechNology Administration,Information Systems,2.54,1353,33,2,9,8,1,7,0,3.53,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.68,1316,29,1,5,10,6,3,0,3.02,Yes
Electrical Engineering,Information Systems,3.91,1064,21,7,6,7,8,4,5,3.59,Yes
Environmental Engineering,Information Systems,2.62,1319,33,8,3,3,3,3,8,2.71,Yes
Bioinformatics and Computational Biology,Biological Sciences (in collaboration with COEIT),2.62,1231,29,1,8,9,1,4,10,2.5,Yes
Chemical Engineering,Mechanical Engineering,3.49,1241,23,8,0,7,9,8,9,2.58,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",3.17,1534,28,3,2,3,2,8,7,3.08,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.33,1493,21,1,5,5,7,7,2,2.81,Yes
Mechanical Engineering,Mechanical Engineering,3.56,1358,20,2,9,10,6,1,4,2.85,Yes
Information Systems,Information Systems,3.04,1333,29,9,2,0,4,4,4,3.88,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.04,1081,25,3,0,8,3,8,10,2.94,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),3.62,1135,28,3,10,2,5,1,3,2.77,Yes
Bioinformatics and Computational Biology,Information Systems,2.51,1246,30,7,10,0,3,4,8,3.44,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.82,1155,25,9,8,1,3,2,7,3.4,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.05,1454,33,8,5,4,9,0,8,3.11,Yes
Computer Engineering,Biological Sciences (in collaboration with COEIT),3.35,1325,21,2,5,4,3,5,8,2.73,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.97,1452,27,3,3,5,2,5,1,3.38,Yes
Information Systems,Mechanical Engineering,3.92,1076,33,8,8,1,0,1,9,3.54,Yes
Chemical Engineering,Information Systems,3.37,1045,32,2,5,7,4,5,2,3.85,Yes
Chemical Engineering,Information Systems,3.93,1136,24,9,3,1,6,8,5,3.2,Yes
Business TechNology Administration,Mechanical Engineering,2.61,1136,34,9,3,4,3,9,6,3.22,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",2.89,1184,30,1,9,9,5,0,9,2.98,Yes
Information Systems,Mechanical Engineering,2.61,1309,28,5,9,5,7,1,2,3.87,Yes
Bioinformatics and Computational Biology,Information Systems,3.67,1158,27,8,6,7,0,2,7,3.92,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.98,1450,34,4,5,8,7,3,7,3.88,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.71,1394,20,6,1,3,9,6,1,3.52,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.84,1582,23,0,0,3,2,2,3,3.99,No
Cybersecurity Informatics,Information Systems,3.03,1254,27,1,3,7,9,7,7,3.26,Yes
Electrical Engineering,Computer Science and Electrical Engineering,2.62,1254,21,0,8,10,0,8,6,2.87,Yes
Electrical Engineering,Computer Science and Electrical Engineering,3.83,1183,31,3,1,10,9,10,1,3.34,Yes
Computer Science,Computer Science and Electrical Engineering,2.9,1446,28,5,0,10,10,3,9,3.93,Yes
Computer Engineering,Information Systems,3.21,1166,28,8,0,4,5,10,0,2.99,Yes
Business TechNology Administration,Mechanical Engineering,2.65,1025,23,5,2,1,9,3,9,3.99,Yes
Computer Science,Computer Science and Electrical Engineering,3.81,1046,25,8,9,7,5,3,4,2.58,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.69,1340,29,4,4,9,9,7,9,3.13,Yes
Electrical Engineering,Biological Sciences (in collaboration with COEIT),2.76,1240,24,3,5,4,3,5,10,3.64,Yes
Business TechNology Administration,Information Systems,3.32,1453,20,4,7,7,10,3,2,2.51,No
Cybersecurity Informatics,Information Systems,3.11,1064,27,2,5,9,10,5,7,3.16,Yes
Computer Science,Information Systems,2.59,1453,33,0,6,2,7,5,3,2.61,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.81,1244,21,3,6,1,6,2,1,3.91,Yes
Environmental Engineering,Information Systems,3.79,1010,32,4,0,8,0,0,7,3.86,No
Cybersecurity Informatics,Information Systems,3.05,1534,34,0,5,2,7,10,2,3.97,Yes
Computer Engineering,Mechanical Engineering,3.31,1400,26,1,8,1,10,4,6,3.81,Yes
Bioinformatics and Computational Biology,Information Systems,3.31,1284,31,5,9,5,9,8,3,3.16,Yes
Mechanical Engineering,Information Systems,3.84,1510,20,6,10,4,9,8,3,3.15,Yes
Electrical Engineering,Mechanical Engineering,3.3,1518,34,7,3,10,1,4,6,3.87,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",2.52,1062,26,4,5,1,9,10,7,3.41,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.65,1480,34,8,7,9,8,9,3,2.6,No
Computer Engineering,Information Systems,3.41,1129,20,9,8,9,4,9,7,2.65,Yes
Cybersecurity Informatics,Biological Sciences (in collaboration with COEIT),4,1008,22,2,9,7,3,9,6,3.57,Yes
Cybersecurity Informatics,Information Systems,3.64,1089,25,1,9,7,0,10,5,3.53,Yes
Computer Science,Computer Science and Electrical Engineering,3.31,1048,25,1,8,3,5,2,6,3.31,Yes
Business TechNology Administration,Information Systems,3.36,1190,31,2,5,6,8,6,4,3.58,Yes
Business TechNology Administration,Mechanical Engineering,2.73,1427,31,4,9,1,8,10,10,2.63,Yes
Cybersecurity Informatics,Information Systems,3.2,1068,31,2,1,8,4,7,3,2.53,Yes
Business TechNology Administration,Mechanical Engineering,3.29,1369,27,6,10,8,3,0,10,3.08,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.41,1456,33,9,8,9,5,4,3,3.37,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.93,1427,32,0,1,5,10,10,7,3.3,No
Bioinformatics and Computational Biology,Mechanical Engineering,2.8,1498,35,10,5,3,4,4,1,3.46,Yes
Electrical Engineering,Mechanical Engineering,3.34,1202,30,10,5,5,3,6,3,3.21,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.91,1104,35,0,1,0,9,5,2,3.85,No
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.62,1538,31,5,6,0,1,1,9,2.5,Yes
Computer Science,Computer Science and Electrical Engineering,2.56,1080,26,3,2,1,9,3,8,3.3,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.32,1149,31,1,1,4,0,3,1,3.18,No
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.95,1574,20,4,8,6,1,2,8,3.82,Yes
Information Systems,Computer Science and Electrical Engineering,3.52,1549,29,3,6,7,3,2,6,3.92,Yes
Computer Engineering,Information Systems,3.73,1228,23,10,5,1,5,1,4,2.8,Yes
Cybersecurity Informatics,Information Systems,2.82,1428,32,5,6,4,8,2,8,3.53,Yes
Bioinformatics and Computational Biology,Information Systems,2.92,1185,32,9,3,3,1,8,4,2.99,Yes
Electrical Engineering,Information Systems,3.59,1404,32,3,4,7,2,3,4,3.66,Yes
Environmental Engineering,Information Systems,3.43,1190,23,10,2,3,0,4,3,3.11,No
Environmental Engineering,Computer Science and Electrical Engineering,3.71,1352,35,10,1,6,8,3,8,2.77,Yes
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,2.92,1027,35,0,9,10,4,6,8,3.15,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.86,1098,24,1,2,8,6,4,9,2.63,No
Computer Engineering,Computer Science and Electrical Engineering,3.06,1454,20,6,0,10,1,2,6,3.24,Yes
Business TechNology Administration,Information Systems,2.63,1340,24,0,3,7,4,4,8,3.86,Yes
Computer Engineering,Computer Science and Electrical Engineering,3.27,1280,30,9,9,6,2,10,8,2.91,Yes
Cybersecurity Informatics,Information Systems,3.19,1582,24,6,8,10,8,7,1,3.11,Yes
Electrical Engineering,Information Systems,3.71,1387,26,2,0,9,2,1,1,2.85,Yes
Mechanical Engineering,Biological Sciences (in collaboration with COEIT),2.68,1430,34,7,3,6,0,8,6,3.3,Yes
Bioinformatics and Computational Biology,Information Systems,2.51,1453,21,3,7,8,4,8,8,2.63,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.6,1540,29,4,10,1,0,8,9,2.99,No
Bioinformatics and Computational Biology,Information Systems,3.46,1280,26,9,7,4,1,6,10,3.18,Yes
Computer Science,Information Systems,3.69,1440,29,1,0,2,6,0,7,3.43,Yes
Computer Science,Information Systems,3.19,1132,21,5,4,10,10,0,8,2.59,Yes
Environmental Engineering,Computer Science and Electrical Engineering,2.54,1054,20,4,1,10,2,1,6,3.4,Yes
Electrical Engineering,Information Systems,2.81,1333,34,6,1,9,4,7,10,2.73,Yes
Business TechNology Administration,Information Systems,3.75,1434,35,8,3,0,4,9,4,2.93,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.95,1223,31,5,8,6,10,10,3,3.15,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",2.92,1198,35,10,0,10,7,9,5,2.59,Yes
Environmental Engineering,Computer Science and Electrical Engineering,3.71,1190,34,7,3,3,5,8,9,3.61,Yes
Chemical Engineering,Biological Sciences (in collaboration with COEIT),2.51,1033,21,7,9,5,4,1,5,3.51,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.6,1269,31,6,3,10,3,2,0,3.68,Yes
Computer Science,Computer Science and Electrical Engineering,3.96,1460,23,6,0,6,2,6,0,3.53,Yes
Information Systems,Information Systems,2.74,1410,35,8,5,2,8,0,7,2.88,No
Bioinformatics and Computational Biology,Computer Science and Electrical Engineering,3.4,1149,25,7,9,2,9,9,4,3.16,Yes
Electrical Engineering,Information Systems,3.04,1162,34,9,3,9,3,10,5,3.7,Yes
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",2.54,1182,25,0,6,5,5,3,0,3.32,Yes
Electrical Engineering,Information Systems,3.72,1034,20,1,7,3,6,8,3,3.43,Yes
Chemical Engineering,Computer Science and Electrical Engineering,3.67,1596,33,7,0,0,9,8,1,2.85,No
Bioinformatics and Computational Biology,Information Systems,3.64,1546,22,0,1,6,6,8,5,2.67,Yes
Information Systems,"Chemical, Biochemical & Environmental Engineering",3.23,1584,29,3,2,6,1,5,2,3.57,Yes
Information Systems,Computer Science and Electrical Engineering,3.82,1000,29,8,1,1,8,8,9,3.48,Yes
Information Systems,Information Systems,3.03,1004,28,10,0,9,4,0,8,3.73,Yes
Computer Engineering,Computer Science and Electrical Engineering,2.95,1098,31,5,0,6,10,2,10,2.98,No
Environmental Engineering,Information Systems,3.97,1079,26,2,0,4,8,10,1,3.44,Yes
Cybersecurity Informatics,Information Systems,3.67,1557,35,1,1,5,7,3,2,3.86,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.98,1501,27,2,2,9,1,7,4,3.13,Yes
Business TechNology Administration,"Chemical, Biochemical & Environmental Engineering",3.33,1020,30,4,0,0,9,7,4,3.12,Yes
Information Systems,Information Systems,2.85,1189,33,4,7,9,6,3,3,2.61,No
Mechanical Engineering,Computer Science and Electrical Engineering,3.02,1011,34,5,6,8,9,5,7,2.94,Yes
Mechanical Engineering,Mechanical Engineering,2.66,1565,31,0,6,7,3,1,2,3.84,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",2.73,1479,22,10,3,3,2,9,0,3.13,Yes
Bioinformatics and Computational Biology,"Chemical, Biochemical & Environmental Engineering",3.4,1149,33,5,1,8,5,7,0,3.04,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.11,1099,27,10,9,7,5,8,7,3.9,Yes
Computer Science,Biological Sciences (in collaboration with COEIT),2.9,1010,28,0,2,0,7,8,0,3.27,No
Electrical Engineering,Computer Science and Electrical Engineering,3.98,1301,34,10,2,6,3,8,9,3.25,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.84,1102,21,5,0,1,8,0,7,3.47,Yes
Electrical Engineering,Mechanical Engineering,3.16,1447,26,6,1,2,1,6,4,3.23,Yes
Information Systems,Computer Science and Electrical Engineering,3.39,1094,32,6,8,6,0,3,2,3.9,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.81,1559,29,10,3,4,8,1,6,3.65,Yes
Business TechNology Administration,Computer Science and Electrical Engineering,3.02,1592,33,4,0,5,6,0,10,2.8,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,2.97,1099,28,9,0,4,8,1,0,2.91,No
Information Systems,Information Systems,2.97,1347,33,9,6,4,2,2,4,2.62,No
Cybersecurity Informatics,"Chemical, Biochemical & Environmental Engineering",3.46,1208,21,7,10,5,6,4,10,3.09,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.62,1313,32,1,7,1,7,7,8,3.76,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.54,1306,22,10,10,8,10,1,5,2.97,Yes
Chemical Engineering,Computer Science and Electrical Engineering,2.71,1051,35,4,6,10,6,3,2,2.96,Yes
Cybersecurity Informatics,Computer Science and Electrical Engineering,3.06,1562,25,2,5,8,1,9,4,3.98,Yes
Chemical Engineering,Information Systems,2.57,1248,35,8,8,9,2,5,0,3.31,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.5,1481,32,4,10,3,5,3,4,3.45,No
Environmental Engineering,Computer Science and Electrical Engineering,3.48,1588,34,7,2,0,10,3,10,2.58,Yes
Chemical Engineering,Information Systems,3.77,1225,31,3,4,9,8,5,3,3.64,Yes
Computer Science,"Chemical, Biochemical & Environmental Engineering",3.25,1249,35,3,1,3,5,1,6,2.72,Yes
Chemical Engineering,Information Systems,2.9,1271,32,3,2,4,0,8,8,3.98,No
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.31,1148,21,5,9,10,3,7,9,2.87,Yes
Bioinformatics and Computational Biology,Mechanical Engineering,2.58,1372,20,5,4,3,6,2,0,3.74,Yes
Chemical Engineering,"Chemical, Biochemical & Environmental Engineering",2.75,1577,21,0,8,5,10,9,9,3.37,Yes
Mechanical Engineering,Computer Science and Electrical Engineering,3.46,1210,23,2,7,6,9,3,8,2.72,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",2.63,1188,27,0,4,8,4,4,1,3.44,Yes
Chemical Engineering,Information Systems,3.25,1408,26,6,1,6,0,2,0,3.76,Yes
Mechanical Engineering,"Chemical, Biochemical & Environmental Engineering",3.9,1003,27,2,9,6,3,1,1,2.71,No
Computer Engineering,Information Systems,3.99,1383,30,8,8,6,0,9,5,3.35,Yes
Computer Science,Mechanical Engineering,3.34,1310,32,6,9,3,5,0,8,3.86,Yes
Business TechNology Administration,Information Systems,3.12,1455,21,5,8,3,6,2,1,3.95,Yes
Computer Science,Mechanical Engineering,2.68,1104,33,1,1,6,7,9,10,2.78,Yes
Computer Science,Information Systems,3.5,1412,34,2,7,10,10,8,3,2.97,No
Computer Engineering,Biological Sciences (in collaboration with COEIT),2.83,1002,21,7,7,4,0,2,2,3.73,Yes
Electrical Engineering,Information Systems,3.79,1040,26,3,2,9,4,8,5,2.82,No
Business TechNology Administration,Computer Science and Electrical Engineering,3.83,1519,22,7,6,5,8,10,10,3.83,Yes
Computer Engineering,"Chemical, Biochemical & Environmental Engineering",3.78,1026,34,1,9,3,6,4,1,2.51,Yes
Information Systems,Information Systems,2.95,1132,32,4,1,9,6,10,8,3.86,Yes
